=== [DEBUG] Vertices (228 total) ===
[  206] Pos( -0.2275,  -0.3052,   1.1338)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  207] Pos( -0.2274,  -0.0668,   0.3986)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  208] Pos( -0.2274,   0.5515,   0.3845)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  209] Pos( -0.2274,   0.6341,  -0.0376)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  210] Pos( -0.2274,  -0.6846,   0.3897)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  211] Pos( -0.2274,  -0.7312,  -0.0376)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  212] Pos( -0.2274,  -0.7312,   0.9015)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  213] Pos( -0.2274,   1.1043,   0.4085)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  214] Pos( -0.2274,   1.1194,   0.9015)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  215] Pos( -0.2274,   1.1194,  -0.0376)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  216] Pos( -0.2274,  -0.7312,   0.9015)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
